organism,antibiotic,count_full,organism_name,antibiotic_name
13,27,2109,PROTEUS MIRABILIS,Trimethoprim/Sulfamethoxazole
13,2,2105,PROTEUS MIRABILIS,Ampicillin
13,10,2085,PROTEUS MIRABILIS,Ciprofloxacin
12,24,2069,OTHER,Piperacillin/Tazobactam
13,24,1994,PROTEUS MIRABILIS,Piperacillin/Tazobactam
13,14,1984,PROTEUS MIRABILIS,Gentamicin
13,9,1978,PROTEUS MIRABILIS,Ceftriaxone
4,14,1973,ENTEROBACTER CLOACAE COMPLEX,Gentamicin
4,8,1973,ENTEROBACTER CLOACAE COMPLEX,Ceftazidime
4,24,1973,ENTEROBACTER CLOACAE COMPLEX,Piperacillin/Tazobactam
4,10,1973,ENTEROBACTER CLOACAE COMPLEX,Ciprofloxacin
4,27,1973,ENTEROBACTER CLOACAE COMPLEX,Trimethoprim/Sulfamethoxazole
15,15,1971,PSEUDOMONAS AERUGINOSA,Imipenem
4,9,1967,ENTEROBACTER CLOACAE COMPLEX,Ceftriaxone
4,7,1929,ENTEROBACTER CLOACAE COMPLEX,Cefoxitin
12,11,1928,OTHER,Clindamycin
6,23,1926,ENTEROCOCCUS SPECIES,Penicillin
4,16,1899,ENTEROBACTER CLOACAE COMPLEX,Levofloxacin
6,28,1878,ENTEROCOCCUS SPECIES,Vancomycin
12,3,1854,OTHER,Ampicillin/Sulbactam
6,17,1844,ENTEROCOCCUS SPECIES,Linezolid
13,18,1835,PROTEUS MIRABILIS,Meropenem
13,0,1811,PROTEUS MIRABILIS,Amikacin
4,18,1781,ENTEROBACTER CLOACAE COMPLEX,Meropenem
17,21,1780,STAPH AUREUS {MRSA},Other
13,8,1764,PROTEUS MIRABILIS,Ceftazidime
4,21,1658,ENTEROBACTER CLOACAE COMPLEX,Other
13,12,1648,PROTEUS MIRABILIS,Ertapenem
13,16,1645,PROTEUS MIRABILIS,Levofloxacin
13,25,1611,PROTEUS MIRABILIS,Tetracycline
12,0,1592,OTHER,Amikacin
6,21,1580,ENTEROCOCCUS SPECIES,Other
13,20,1522,PROTEUS MIRABILIS,Nitrofurantoin
13,1,1478,PROTEUS MIRABILIS,Amoxicillin/Clavulanic Acid
11,26,1455,MUCOID PSEUDOMONAS AERUGINOSA,Tobramycin
11,8,1455,MUCOID PSEUDOMONAS AERUGINOSA,Ceftazidime
13,7,1450,PROTEUS MIRABILIS,Cefoxitin
13,5,1444,PROTEUS MIRABILIS,Cefazolin
18,25,1400,STAPHYLOCOCCUS AUREUS,Tetracycline
12,13,1375,OTHER,Erythromycin
12,15,1343,OTHER,Imipenem
18,19,1343,STAPHYLOCOCCUS AUREUS,Moxifloxacin
11,10,1342,MUCOID PSEUDOMONAS AERUGINOSA,Ciprofloxacin
18,17,1331,STAPHYLOCOCCUS AUREUS,Linezolid
11,18,1331,MUCOID PSEUDOMONAS AERUGINOSA,Meropenem
11,4,1310,MUCOID PSEUDOMONAS AERUGINOSA,Aztreonam
12,25,1283,OTHER,Tetracycline
3,22,1275,COAG NEGATIVE STAPHYLOCOCCUS,Oxacillin
4,2,1266,ENTEROBACTER CLOACAE COMPLEX,Ampicillin
4,3,1266,ENTEROBACTER CLOACAE COMPLEX,Ampicillin/Sulbactam
3,13,1266,COAG NEGATIVE STAPHYLOCOCCUS,Erythromycin
3,28,1265,COAG NEGATIVE STAPHYLOCOCCUS,Vancomycin
3,27,1265,COAG NEGATIVE STAPHYLOCOCCUS,Trimethoprim/Sulfamethoxazole
13,26,1264,PROTEUS MIRABILIS,Tobramycin
3,11,1264,COAG NEGATIVE STAPHYLOCOCCUS,Clindamycin
18,16,1263,STAPHYLOCOCCUS AUREUS,Levofloxacin
4,1,1220,ENTEROBACTER CLOACAE COMPLEX,Amoxicillin/Clavulanic Acid
15,4,1217,PSEUDOMONAS AERUGINOSA,Aztreonam
11,0,1211,MUCOID PSEUDOMONAS AERUGINOSA,Amikacin
4,5,1180,ENTEROBACTER CLOACAE COMPLEX,Cefazolin
18,21,1180,STAPHYLOCOCCUS AUREUS,Other
12,1,1157,OTHER,Amoxicillin/Clavulanic Acid
12,6,1146,OTHER,Cefepime
3,23,1088,COAG NEGATIVE STAPHYLOCOCCUS,Penicillin
3,14,1082,COAG NEGATIVE STAPHYLOCOCCUS,Gentamicin
4,12,1073,ENTEROBACTER CLOACAE COMPLEX,Ertapenem
3,16,1070,COAG NEGATIVE STAPHYLOCOCCUS,Levofloxacin
3,19,1068,COAG NEGATIVE STAPHYLOCOCCUS,Moxifloxacin
3,25,1063,COAG NEGATIVE STAPHYLOCOCCUS,Tetracycline
3,17,1063,COAG NEGATIVE STAPHYLOCOCCUS,Linezolid
4,0,1043,ENTEROBACTER CLOACAE COMPLEX,Amikacin
12,20,1016,OTHER,Nitrofurantoin
4,25,1011,ENTEROBACTER CLOACAE COMPLEX,Tetracycline
4,26,999,ENTEROBACTER CLOACAE COMPLEX,Tobramycin
11,6,959,MUCOID PSEUDOMONAS AERUGINOSA,Cefepime
17,28,905,STAPH AUREUS {MRSA},Vancomycin
17,22,905,STAPH AUREUS {MRSA},Oxacillin
17,27,905,STAPH AUREUS {MRSA},Trimethoprim/Sulfamethoxazole
17,25,905,STAPH AUREUS {MRSA},Tetracycline
17,17,905,STAPH AUREUS {MRSA},Linezolid
12,26,883,OTHER,Tobramycin
17,13,860,STAPH AUREUS {MRSA},Erythromycin
5,2,855,ENTEROCOCCUS FAECALIS,Ampicillin
17,11,853,STAPH AUREUS {MRSA},Clindamycin
11,15,824,MUCOID PSEUDOMONAS AERUGINOSA,Imipenem
4,6,789,ENTEROBACTER CLOACAE COMPLEX,Cefepime
11,24,772,MUCOID PSEUDOMONAS AERUGINOSA,Piperacillin/Tazobactam
5,28,770,ENTEROCOCCUS FAECALIS,Vancomycin
11,16,722,MUCOID PSEUDOMONAS AERUGINOSA,Levofloxacin
12,4,697,OTHER,Aztreonam
5,17,692,ENTEROCOCCUS FAECALIS,Linezolid
5,25,681,ENTEROCOCCUS FAECALIS,Tetracycline
5,20,681,ENTEROCOCCUS FAECALIS,Nitrofurantoin
5,10,681,ENTEROCOCCUS FAECALIS,Ciprofloxacin
12,17,631,OTHER,Linezolid
17,5,615,STAPH AUREUS {MRSA},Cefazolin
1,10,577,CITROBACTER FREUNDII COMPLEX,Ciprofloxacin
1,20,577,CITROBACTER FREUNDII COMPLEX,Nitrofurantoin
1,27,577,CITROBACTER FREUNDII COMPLEX,Trimethoprim/Sulfamethoxazole
1,14,577,CITROBACTER FREUNDII COMPLEX,Gentamicin
1,8,577,CITROBACTER FREUNDII COMPLEX,Ceftazidime
1,5,577,CITROBACTER FREUNDII COMPLEX,Cefazolin
1,9,577,CITROBACTER FREUNDII COMPLEX,Ceftriaxone
1,12,575,CITROBACTER FREUNDII COMPLEX,Ertapenem
1,0,575,CITROBACTER FREUNDII COMPLEX,Amikacin
1,18,575,CITROBACTER FREUNDII COMPLEX,Meropenem
4,4,568,ENTEROBACTER CLOACAE COMPLEX,Aztreonam
1,1,563,CITROBACTER FREUNDII COMPLEX,Amoxicillin/Clavulanic Acid
1,7,563,CITROBACTER FREUNDII COMPLEX,Cefoxitin
1,26,561,CITROBACTER FREUNDII COMPLEX,Tobramycin
19,23,558,STREPTOCOCCUS AGALACTIAE (GROUP B),Penicillin
1,16,556,CITROBACTER FREUNDII COMPLEX,Levofloxacin
19,11,556,STREPTOCOCCUS AGALACTIAE (GROUP B),Clindamycin
4,15,554,ENTEROBACTER CLOACAE COMPLEX,Imipenem
2,27,552,CITROBACTER KOSERI,Trimethoprim/Sulfamethoxazole
2,9,552,CITROBACTER KOSERI,Ceftriaxone
2,10,552,CITROBACTER KOSERI,Ciprofloxacin
2,24,552,CITROBACTER KOSERI,Piperacillin/Tazobactam
2,14,552,CITROBACTER KOSERI,Gentamicin
2,1,550,CITROBACTER KOSERI,Amoxicillin/Clavulanic Acid
2,16,550,CITROBACTER KOSERI,Levofloxacin
13,6,539,PROTEUS MIRABILIS,Cefepime
1,24,537,CITROBACTER FREUNDII COMPLEX,Piperacillin/Tazobactam
19,16,534,STREPTOCOCCUS AGALACTIAE (GROUP B),Levofloxacin
19,28,525,STREPTOCOCCUS AGALACTIAE (GROUP B),Vancomycin
2,12,518,CITROBACTER KOSERI,Ertapenem
2,18,518,CITROBACTER KOSERI,Meropenem
2,0,515,CITROBACTER KOSERI,Amikacin
2,8,515,CITROBACTER KOSERI,Ceftazidime
2,25,513,CITROBACTER KOSERI,Tetracycline
2,7,513,CITROBACTER KOSERI,Cefoxitin
19,13,481,STREPTOCOCCUS AGALACTIAE (GROUP B),Erythromycin
2,5,478,CITROBACTER KOSERI,Cefazolin
4,20,470,ENTEROBACTER CLOACAE COMPLEX,Nitrofurantoin
2,20,457,CITROBACTER KOSERI,Nitrofurantoin
