model_family,configuration,removed_groups,n_features,n_removed_features,baseline_pr_auc,roc_auc,pr_auc,brier,f1,precision,recall,threshold,delta_pr_auc_vs_full,delta_roc_auc_vs_full,delta_f1_vs_full
LightGBM,full_model,(none),66,0,0.23188539741219963,0.8515604541749209,0.6819470019901891,0.1195336760503748,0.6169590080289582,0.5027930331084262,0.798201474691112,0.28,0.0,0.0,0.0
LightGBM,minus_comorbidity,comorbidity,55,11,0.23188539741219963,0.8352465263729733,0.6687211638098779,0.12636086897072873,0.5117271975022772,0.3549441963209122,0.9166002391390993,0.19,-0.0132258381803112,-0.016313927801947625,-0.10523181052668096
LightGBM,minus_antibiotic_class_exposure,antibiotic_class_exposure,64,2,0.23188539741219963,0.8368836881045166,0.6626171841849251,0.12376488905139209,0.5699243055432451,0.44236220039076474,0.8008668792347549,0.22,-0.019329817805263994,-0.014676766070404246,-0.047034702485713065
LightGBM,minus_labs,labs,35,31,0.23188539741219963,0.8156044615347329,0.6484014230542312,0.12847805450326527,0.5525734503586996,0.454688756635033,0.7041650059784775,0.25,-0.03354557893595789,-0.035955992640188006,-0.06438555767025855
LightGBM,minus_prior_medications,prior_medications,63,3,0.23188539741219963,0.8292211656658938,0.6408298205609422,0.1289597238195606,0.5570913030662726,0.4095077474438706,0.8709894380231168,0.25,-0.04111718142924692,-0.02233928850902711,-0.059867704962685564
LightGBM,minus_demographics,demographics,64,2,0.23188539741219963,0.8170727858427624,0.6335031556737234,0.13226559271063576,0.5531649331352154,0.4591816597046344,0.6955211239537664,0.31,-0.0484438463164657,-0.03448766833215844,-0.06379407489374278
LightGBM,minus_vitals,vitals,51,15,0.23188539741219963,0.8173163263226995,0.6084126369062212,0.1324951922485697,0.5570076685969708,0.41787900320380966,0.8350189318453567,0.19,-0.07353436508396793,-0.03424412785222142,-0.05995133943198738
LightGBM,minus_microbiology,microbiology,64,2,0.23188539741219963,0.4662049019975566,0.23117874455452686,0.1857608548925026,0.3780260356813172,0.23308165872923683,0.9997010761259466,0.16,-0.45076825743566223,-0.3853555521773643,-0.238932972347641
