feature,mean_abs_shap
antibiotic,3.790205012642045
organism,1.4890512175220332
gender,0.8953604265276861
Q75_wbc,0.669884650022933
has_ckd,0.5605793356835784
Q75_heartrate,0.46641177412555457
min_time_to_med,0.4326314013097566
has_transplant,0.40489733407218004
Q75_resprate,0.4037905130932511
n_med_categories,0.37352918969815213
Q25_cr,0.34517351227612914
Q75_neutrophils,0.34347803646384384
Q25_resprate,0.32754095832542146
min_time_to_class,0.3175864059573484
Q75_hco3,0.3081983676485873
Q75_lactate,0.29550584020051657
Q25_diasbp,0.2777322141407647
Q75_sysbp,0.26916967631114436
Q25_temp,0.26377344271426756
median_diasbp,0.2626957215342175
Q75_plt,0.26217822480295766
age,0.26031258853605566
Q75_cr,0.25053926294922546
Q25_sysbp,0.23815285079331472
median_plt,0.2259193404122957
median_heartrate,0.22426600142702513
Q75_bun,0.2213290856983043
Q25_plt,0.21195361721275946
median_hco3,0.20022813205603454
has_dementia,0.1979765618864863
Q25_heartrate,0.19022628282194862
Q75_temp,0.18863211962419285
median_cr,0.1885879117867166
median_sysbp,0.17869962099579634
has_immunosuppression,0.16945610307699221
Q75_diasbp,0.16916809028878327
median_hgb,0.15520168948890764
Q25_hco3,0.15131876018494192
Q25_na,0.14617723292905313
median_neutrophils,0.14236539750089985
Q25_hgb,0.1378695876623017
has_diabetes,0.12691582487815153
Q25_lactate,0.12380617767194992
has_chf,0.11643892186518334
Q75_hgb,0.11184293405237361
Q25_bun,0.1027625099518829
median_wbc,0.09479397393544796
Q75_na,0.08591068188328849
antibiotic_class,0.0857693321609359
Q25_wbc,0.08518350727810932
has_liver_disease,0.07986204993240192
median_bun,0.07552865324150508
median_resprate,0.06782605854501504
median_temp,0.06599890574273849
has_stroke,0.06240075590768121
median_na,0.053823667257799815
median_lymphocytes,0.05038997718905474
has_copd,0.0502546360670652
has_cancer,0.04545922792319457
Q25_neutrophils,0.03770903214945479
Q25_lymphocytes,0.03159680543114802
median_lactate,0.026909782694228054
Q75_lymphocytes,0.020450894858804837
med_within_30_days,0.01825394539908828
Period_Day,0.013298360746238446
has_other_comorbid,0.0005043868277006528
