feature,mean_abs_shap
antibiotic,3.7267942175043283
organism,1.513892134615164
gender,0.8607166091000555
Q75_heartrate,0.6681650773119426
n_med_categories,0.5097136725686561
has_ckd,0.45917025297807706
Q75_wbc,0.45744906527410856
min_time_to_med,0.42861027440599414
min_time_to_class,0.3989705990439489
Q75_lactate,0.38015173325710944
has_transplant,0.3719053742196501
Q75_hco3,0.3641683554631236
Q25_temp,0.3596720296348383
Q75_sysbp,0.35013130588175734
Q75_resprate,0.3324007620547999
Q25_cr,0.31903035676002184
Q75_neutrophils,0.3010662988190365
Q75_cr,0.29104656560354597
median_diasbp,0.27615768212056846
age,0.2636346706340105
Q75_bun,0.26194539106377934
Q25_na,0.2515039977980407
Q25_diasbp,0.23577257635821097
Q25_heartrate,0.22159102902316236
Q75_temp,0.22157047883557957
median_heartrate,0.21175265582428998
Q25_resprate,0.20879342259731293
median_hco3,0.2086850779757171
median_sysbp,0.19899986419309185
Q75_plt,0.19883362930611367
has_diabetes,0.182556386498495
median_plt,0.17383681558829517
median_hgb,0.1707127806227365
Q25_hgb,0.1663748493359977
Q25_wbc,0.16478038805180098
median_neutrophils,0.16449825616975258
Q75_diasbp,0.16080552677473428
has_immunosuppression,0.14245323985538302
Q25_plt,0.13627572508996136
median_cr,0.1287917428390548
Q25_hco3,0.11748361793451988
has_chf,0.11184381612824738
Q25_bun,0.10880489166456775
has_dementia,0.10748572568111593
Q25_sysbp,0.10663644762220423
Q75_hgb,0.09475310911833115
Q75_na,0.0903717447919277
median_na,0.08282957003645187
antibiotic_class,0.08045836375043675
median_temp,0.08036916280850101
median_wbc,0.07570845429285991
median_resprate,0.06709682558089886
Q25_neutrophils,0.05767087250784571
Q25_lactate,0.05310934388860697
has_liver_disease,0.05205523883433699
has_cancer,0.0490449964346418
median_bun,0.04406046596842473
has_stroke,0.03858259079598813
Q25_lymphocytes,0.03662201276815785
median_lactate,0.027766814374460037
has_copd,0.02536958297446606
med_within_30_days,0.02004526843083885
Q75_lymphocytes,0.012932964172963515
median_lymphocytes,0.01100266663087995
Period_Day,0.009529683182945666
has_other_comorbid,0.00020884402851909745
