feature,mean_abs_shap
antibiotic,12.05453967886176
gender,0.9463444534459531
age,0.6405524035722404
Q75_cr,0.536735007242843
Q75_hco3,0.4186694338469031
Q75_heartrate,0.4163185469109984
min_time_to_class,0.41178036327616696
Q25_cr,0.4114130579592965
Q75_resprate,0.3908989853093302
min_time_to_med,0.38528952670926564
has_ckd,0.35405870647738824
has_transplant,0.3285365778739969
Q75_lactate,0.31583257642697354
Q75_plt,0.27940719875215936
Q25_temp,0.2661032415014849
Q75_bun,0.2583513999032585
organism,0.25334659789602476
median_hco3,0.24742553363588732
Q75_neutrophils,0.2453003938045803
Q25_na,0.2371639361067501
median_heartrate,0.21886000612221748
has_dementia,0.2159750136340931
Q25_hgb,0.2021656933817032
median_neutrophils,0.19831571308492224
median_diasbp,0.1873510932657126
median_hgb,0.17655287887512564
Q25_diasbp,0.1742345326125293
median_plt,0.17009307324015402
Q75_temp,0.16894535380564424
Q75_sysbp,0.16052690886749582
Q75_na,0.15784492734095554
Q25_bun,0.1567480180953768
Q25_plt,0.1545803879942369
Q25_resprate,0.14647726211174944
Q75_diasbp,0.14501130016789843
Q25_heartrate,0.14160532958533117
median_cr,0.12780951914646593
has_diabetes,0.1225043375494392
n_med_categories,0.11664199555391717
median_sysbp,0.11363943573808945
Q25_sysbp,0.11048140932721814
Q25_lactate,0.10409624389166497
median_temp,0.10379174981917896
Q25_hco3,0.09934479941904596
Q75_wbc,0.09181425612587298
Q75_hgb,0.09046878458688389
Q25_neutrophils,0.07883691033679352
Q25_wbc,0.0766914446143755
median_wbc,0.07391131642108548
median_na,0.07278432068444035
antibiotic_class,0.06956282150705148
has_immunosuppression,0.06524603250976355
has_chf,0.05963598963221814
has_copd,0.05722061199002196
has_liver_disease,0.05301517098875951
median_bun,0.039780578621419496
has_cancer,0.037967357176236956
median_resprate,0.03669663502080456
has_stroke,0.03643154504154155
Q75_lymphocytes,0.028698016562797777
Q25_lymphocytes,0.024130166197507203
median_lactate,0.021851160982999992
Period_Day,0.014046022588362588
median_lymphocytes,0.01012179830847162
med_within_30_days,0.010101623018743277
has_other_comorbid,3.585249233760115e-05
