feature,mean_abs_shap
antibiotic,1.055888749216283
organism,0.8461743428248998
gender,0.6096513155440213
Q75_hco3,0.5960684204394585
has_ckd,0.5595045830946195
Q75_cr,0.5582751870657107
n_med_categories,0.5094686215466105
min_time_to_class,0.4828307800171646
age,0.4826679385173655
has_transplant,0.47499542794042016
Q25_cr,0.4606781598575626
Q75_heartrate,0.4413291228316054
min_time_to_med,0.4212812240351486
Q75_resprate,0.37999229126287903
Q75_neutrophils,0.3716399831384205
median_cr,0.3463542381542361
Q75_lactate,0.3415979831075876
median_plt,0.31404759068311006
Q25_temp,0.2592808576361927
Q75_plt,0.24932311484457637
median_heartrate,0.24109429594588758
median_neutrophils,0.2296486475732091
Q75_sysbp,0.2213546274219015
Q25_hgb,0.22036295944172796
median_diasbp,0.2194945491526275
has_dementia,0.21720391018237914
Q25_diasbp,0.21715805230793778
Q25_heartrate,0.21465799623679938
Q25_plt,0.20721423441361703
Q25_sysbp,0.20548587478419356
Q75_diasbp,0.20316117932309977
median_hco3,0.199320685270636
Q75_bun,0.19528484795029386
median_sysbp,0.1929713711314415
median_hgb,0.18781253215831917
Q75_temp,0.18201062295023715
Q25_na,0.16488739520102788
Q75_hgb,0.15674972217293762
Q25_hco3,0.15498465202932465
Q25_bun,0.14467235740210585
has_immunosuppression,0.142462568494847
Q75_wbc,0.12942917071891064
median_temp,0.12126912264396492
has_diabetes,0.10310966436389547
median_wbc,0.09909849091619395
Q25_wbc,0.09748760985201327
Q25_resprate,0.09206168045281346
antibiotic_class,0.08791231330775834
median_na,0.08703793601339094
median_bun,0.08268929741583342
Q75_na,0.07905399599260396
has_chf,0.07776056323939727
median_resprate,0.07765581013234953
Q25_neutrophils,0.0644680782920971
has_liver_disease,0.06050730026898189
Q25_lymphocytes,0.060227624436386504
has_cancer,0.058825372339243655
has_copd,0.05562842143479883
Q25_lactate,0.044791980114689545
Q75_lymphocytes,0.04124798197330362
has_stroke,0.03462840535279032
median_lactate,0.024438133639299014
med_within_30_days,0.023038954448650447
median_lymphocytes,0.01602942667346161
Period_Day,0.014756407204352793
has_other_comorbid,0.0001858795766183675
