,roc_auc,pr_auc,brier,baseline_pr_auc
XGBoost,0.8486455161071209,0.6690888924544852,0.155506432056427,0.23188539741219963
LightGBM,0.8390837800276842,0.6534877466147875,0.17254415241235713,0.23188539741219963
CatBoost,0.8075821242480266,0.6008209394741099,0.15224041197849728,0.23188539741219963
HistGB,0.7674034534813163,0.5793256849814897,0.16600195688471794,0.23188539741219963
