,roc_auc,pr_auc,brier,f1,precision,recall,threshold,baseline_pr_auc
MajorityBaseline,0.5,0.23188539741219963,0.18817428707450945,0.0,0.0,0.0,0.5,
AntibioticRule,0.7435463682640581,0.47836568953425246,0.16084063725330147,0.485914920152916,0.3337803106492345,0.8928856117975289,0.22,
OrganismAntibioticRule,0.7698539964683571,0.5896898970425438,0.15360970599440252,0.47323135095599855,0.32726682763425363,0.8542247907532882,0.03,
XGBoost,0.8399135198286469,0.6752949547755217,0.1250384213465587,0.6066966195977749,0.5316671666416679,0.7063820247110403,0.32,0.2318853974121996
LightGBM,0.8511006578451792,0.6822761202720292,0.1195014227597195,0.6120119889332923,0.4980923192394296,0.7934934236747708,0.28,0.2318853974121996
CatBoost,0.8204140931707038,0.6282903657913887,0.1377196700755661,0.4597782566676071,0.302874767685555,0.953990633718613,0.15,0.2318853974121996
HistGB,0.8314949448514646,0.6541594932736465,0.1305590585796497,0.5741941029828935,0.4383745045021395,0.8319549621363093,0.27,0.2318853974121996
