model,roc_auc,pr_auc,brier,f1,precision,recall,threshold
MajorityBaseline,0.5,0.23188539741219963,0.18817428707450945,0.0,0.0,0.0,0.5
AntibioticRule,0.7435463682640581,0.47836568953425246,0.16084063725330147,0.485914920152916,0.3337803106492345,0.8928856117975289,0.22
OrganismAntibioticRule,0.7698539964683571,0.5896898970425438,0.15360970599440252,0.47323135095599855,0.32726682763425363,0.8542247907532882,0.03
