model,roc_auc_mean,roc_auc_lo,roc_auc_hi,pr_auc_mean,pr_auc_lo,pr_auc_hi,brier_mean,brier_lo,brier_hi,f1_mean,f1_lo,f1_hi,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi
MajorityBaseline,0.5,0.5,0.5,0.23618400960208458,0.17195707590931353,0.32548551081362553,0.18961704241621816,0.1680603753865979,0.21958955731270757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntibioticRule,0.7417309370346252,0.6534659937955118,0.8152949235618795,0.4824066932823885,0.38883457115010667,0.5613656519632093,0.16422460376073364,0.13346417697832494,0.2031972117672252,0.48522213974042633,0.3973463150770141,0.5863196860110704,0.3356966293460985,0.2551720474330497,0.43648469722280786,0.8912953702157597,0.8010008021916921,0.9664347072332804
OrganismAntibioticRule,0.7714293917172942,0.6547803982828606,0.8967415967673051,0.5959162646960264,0.46369600313245096,0.7323287112898078,0.15953312633572048,0.10166792738690131,0.24835892300465162,0.4727082778262384,0.41062694848404274,0.54432079131947,0.32903982638704754,0.26154808049295436,0.4209488278010894,0.8594436659163806,0.7316011084957319,0.9693792571605373
XGBoost,0.8339449881280965,0.745498195697724,0.904973553609459,0.6715873854052012,0.5548326672663851,0.7581656563780607,0.1290154417868336,0.093167360817145,0.1790514968928709,0.5962749142428445,0.4802051534668418,0.6803411232967114,0.5251900581023886,0.4087302535759444,0.6449095745997347,0.7029187005842664,0.5162222034255713,0.8637174253739353
LightGBM,0.8450145511121205,0.7619284200606031,0.9152592255089084,0.6798101674058692,0.5681718585614478,0.76813267528653,0.1238796845704429,0.0843183945453791,0.1739983400843793,0.6044957156345735,0.52883723357892,0.6642171880958727,0.4918901342237757,0.3921250378825278,0.5907541907069986,0.7943228784499757,0.6943300267060922,0.8961423493044528
CatBoost,0.8171158088839546,0.7423101167584053,0.8956180844450813,0.6298640374179909,0.5095696842149164,0.7313030036300114,0.1408413035260153,0.1081505655904855,0.1798365064025132,0.4618169004312667,0.373741617269667,0.5695713309145053,0.3065005441017013,0.2311891498431378,0.4083218817728525,0.9554869876722162,0.921979528786376,0.9870722724181024
HistGB,0.8266548083957203,0.7596078312938288,0.8711366831541348,0.6533628064465064,0.5658312755380671,0.7142328703654338,0.1336165219080896,0.1053315979974528,0.1720319376617167,0.5691371483232766,0.4670256906238629,0.6523485274455487,0.4358989871219897,0.3283463487431464,0.5399759179343883,0.830760585916405,0.7817608575325238,0.8798776502538844
