model,roc_auc_mean,roc_auc_lo,roc_auc_hi,pr_auc_mean,pr_auc_lo,pr_auc_hi,brier_mean,brier_lo,brier_hi,f1_mean,f1_lo,f1_hi,precision_mean,precision_lo,precision_hi,recall_mean,recall_lo,recall_hi
MajorityBaseline,0.5,0.5,0.5,0.23618400960208458,0.17195707590931353,0.32548551081362553,0.18961704241621816,0.1680603753865979,0.21958955731270757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AntibioticRule,0.7417309370346252,0.6534659937955118,0.8152949235618795,0.4824066932823885,0.38883457115010667,0.5613656519632093,0.16422460376073364,0.13346417697832494,0.2031972117672252,0.48522213974042633,0.3973463150770141,0.5863196860110704,0.3356966293460985,0.2551720474330497,0.43648469722280786,0.8912953702157597,0.8010008021916921,0.9664347072332804
OrganismAntibioticRule,0.7714293917172942,0.6547803982828606,0.8967415967673051,0.5959162646960264,0.46369600313245096,0.7323287112898078,0.15953312633572048,0.10166792738690131,0.24835892300465162,0.4727082778262384,0.41062694848404274,0.54432079131947,0.32903982638704754,0.26154808049295436,0.4209488278010894,0.8594436659163806,0.7316011084957319,0.9693792571605373
