feature,mean_abs_shap
antibiotic,2.0528473702794887
organism,1.2440633991303283
age,1.1423170947141768
Q25_temp,0.9320121311478087
has_chf,0.5510542256167517
Q25_sysbp,0.3347912002383101
has_dementia,0.32875998851963834
Q75_cr,0.28236280154811977
Q75_hco3,0.28176868668521343
Q75_wbc,0.2677745760029268
n_med_categories,0.2595068293144247
Q75_bun,0.21047792994276965
has_immunosuppression,0.19935881217259777
median_heartrate,0.1938551741481172
has_transplant,0.18906276045898474
min_time_to_med,0.17515191339519082
median_na,0.15738813515080577
Q25_diasbp,0.14644557981690753
median_hco3,0.12761572932847576
has_ckd,0.12756003075216266
Q25_cr,0.12728468606426854
gender,0.12447311113383039
median_diasbp,0.12207650124225004
median_bun,0.11569921361048166
median_resprate,0.09573081084722154
Q75_resprate,0.08816409888367249
has_cancer,0.08549403223137124
Q25_bun,0.07944461799380728
Q25_na,0.07789997160716032
Q75_sysbp,0.0762371630525041
min_time_to_class,0.07545474459700052
Q75_plt,0.07008611768407426
Q75_temp,0.06981160118715757
median_hgb,0.06778225414845529
Q25_resprate,0.06764241427485891
median_plt,0.06540328640821483
has_other_comorbid,0.06471674044353436
antibiotic_class,0.06311394093004259
Q25_lymphocytes,0.06248389260131278
Q75_heartrate,0.05666978102584021
has_stroke,0.05315843812672456
Q75_neutrophils,0.052059511867276066
Q25_neutrophils,0.045886639208466834
has_copd,0.04018139913545744
med_within_30_days,0.040178783386924356
median_cr,0.038550805393157875
Q75_na,0.036863822511434094
has_liver_disease,0.03428266061790894
Q75_lactate,0.029635028020148405
Q25_hco3,0.02883001777162943
median_temp,0.025408972322520124
Q75_hgb,0.024865364286331508
Q25_plt,0.024327252374718174
Q25_heartrate,0.021275565452217017
median_wbc,0.01796052249867959
has_diabetes,0.016032613539921883
Q75_lymphocytes,0.01431280228998342
median_lactate,0.013841114178644226
Q25_wbc,0.013761746964813857
Q75_diasbp,0.013381139857990103
median_neutrophils,0.011830304805802275
median_sysbp,0.010635510108414419
Q25_lactate,0.009609101714474953
median_lymphocytes,0.007831719894839153
Period_Day,0.007596244389153886
Q25_hgb,0.0019237546122266747
