feature,mean_abs_shap
antibiotic,5.809907842565187
min_time_to_class,0.617822802474419
age,0.6177226548988073
gender,0.6176417798627122
Q75_hco3,0.6060492703071815
Q75_cr,0.5906965342157282
n_med_categories,0.5888404907613305
Q75_heartrate,0.5531990752158643
has_transplant,0.4944121748655925
min_time_to_med,0.47668387949977986
has_ckd,0.46915905462601165
organism,0.42285918536803885
Q75_resprate,0.3793388560744969
Q75_lactate,0.36346493633173504
Q75_neutrophils,0.36260842011696615
Q25_heartrate,0.3211893802079361
median_plt,0.28930620689102
Q25_cr,0.2757999326486265
Q25_plt,0.26648854682560336
median_diasbp,0.26605316993904443
median_cr,0.26086060977980924
Q75_temp,0.23993229687065948
Q25_sysbp,0.23166891592179248
Q25_diasbp,0.22724992191034893
Q25_hgb,0.22323732916642391
Q75_plt,0.21741261836488066
Q75_bun,0.18646804090130117
Q25_temp,0.18440774095218118
Q25_hco3,0.1791767134201194
Q75_sysbp,0.17598882921452585
median_hco3,0.16971409125830605
median_heartrate,0.16716253289321698
median_neutrophils,0.1641064196516368
median_temp,0.15967987686982157
Q75_wbc,0.1596643679932436
has_dementia,0.15931763639844018
Q25_na,0.15767747248555572
Q75_na,0.14873661307762373
Q75_diasbp,0.13867146722026844
Q25_bun,0.1371155639261569
median_sysbp,0.12715261052136237
has_chf,0.12655845716290814
Q25_resprate,0.12433321563960796
Q75_hgb,0.10886030256073205
median_hgb,0.10713958792259225
median_na,0.09204211100082059
median_resprate,0.08492230959844276
has_liver_disease,0.08302270075166951
antibiotic_class,0.0813915129694887
has_immunosuppression,0.08009633638017506
has_diabetes,0.07313990443843392
Q25_wbc,0.06939164771681894
median_wbc,0.06893919677599933
has_cancer,0.06810268616666405
has_copd,0.05135251995451548
Q25_neutrophils,0.05066965606876009
median_bun,0.04776661346618005
Q25_lactate,0.04647513306336179
median_lactate,0.040587019814370254
Q25_lymphocytes,0.038418318621953204
has_stroke,0.03194750989755548
Q75_lymphocytes,0.03054773416420526
med_within_30_days,0.019214621066178085
Period_Day,0.016399604842913217
median_lymphocytes,0.011756416747945034
has_other_comorbid,0.00043203545273023085
