feature,mean_abs_shap
antibiotic,2.9551662259692546
min_time_to_class,0.5877857037350905
Q75_hco3,0.5617468874118574
n_med_categories,0.5209444862455208
Q75_cr,0.5189665152655397
gender,0.47064914068593366
Q75_heartrate,0.45253057075621045
age,0.4430461322186524
has_ckd,0.42013914220477727
Q25_sysbp,0.41347074146687635
Q25_cr,0.3778038007773509
Q75_resprate,0.37573406921387675
min_time_to_med,0.3432676696257374
has_transplant,0.3180134047946596
Q75_lactate,0.3091642096413025
Q75_neutrophils,0.28246571782216523
Q25_hgb,0.26906672018813793
median_cr,0.26637830639146104
Q75_plt,0.2559418450639794
Q75_wbc,0.2379891418985483
median_sysbp,0.23171597374407643
Q25_na,0.21292390215004622
Q25_plt,0.1994973253480385
Q25_heartrate,0.19466762074621205
median_temp,0.19293582865423356
has_dementia,0.18697219913501634
Q75_bun,0.1869325210267691
median_hco3,0.18073593022905016
Q25_diasbp,0.1778653844628256
median_hgb,0.17256280084841275
Q75_diasbp,0.16836640686870896
has_cancer,0.1666996158247578
organism,0.16666148211143408
Q25_bun,0.15953864727084377
median_diasbp,0.15625479952715912
median_resprate,0.15515198085194715
median_plt,0.1545284435516116
Q25_temp,0.15211357276419957
Q75_na,0.14495463282757154
Q25_hco3,0.14341216271589866
Q25_resprate,0.13952443603363887
median_heartrate,0.13517525176642067
median_neutrophils,0.13362589326799099
Q75_sysbp,0.11690494229091318
antibiotic_class,0.1131573882837491
Q75_temp,0.11036744151920644
Q75_hgb,0.09880313492911955
Q25_wbc,0.09756015313961973
has_diabetes,0.0844317041581712
median_na,0.07125210735071441
has_immunosuppression,0.07027108643006924
Q25_neutrophils,0.06532845901991913
median_bun,0.06322069714928329
has_chf,0.06116364508668385
has_stroke,0.05799543324350103
has_liver_disease,0.057377554818699814
Q25_lactate,0.04959357970075807
Q25_lymphocytes,0.041906381224653524
has_copd,0.03969981287226379
median_lactate,0.028732675604715645
median_wbc,0.026849469010370032
Q75_lymphocytes,0.01689915747332853
median_lymphocytes,0.016245763077924115
med_within_30_days,0.013028783806242577
Period_Day,0.007352082525612038
has_other_comorbid,9.306193944982572e-05
