feature,mean_abs_shap
antibiotic,3.4117418097135666
gender,0.9075244148235514
organism,0.8804175410744645
age,0.5752926044787436
min_time_to_med,0.5257998879972804
min_time_to_class,0.47707448657074764
Q25_cr,0.475652852396621
Q75_bun,0.4441515485042555
Q75_hco3,0.43888585038451955
Q25_lymphocytes,0.4008481530691294
Q75_diasbp,0.39814544243262384
Q75_plt,0.35384443338987914
Q75_temp,0.3434383084245901
Q75_neutrophils,0.33797566705261434
Q75_heartrate,0.32436438382284816
Q75_resprate,0.32054138515425945
has_transplant,0.3162787446328444
has_ckd,0.3009317154238528
n_med_categories,0.29387506610007846
Q75_cr,0.2891025098436757
Q25_resprate,0.27510100104523144
Q25_heartrate,0.2507150416499201
Q25_temp,0.2402915524215584
median_hco3,0.22431132664747414
Q25_sysbp,0.22350367472830557
median_plt,0.21671100288668532
median_sysbp,0.21330366777521323
Q25_na,0.20961603968052028
has_dementia,0.20133523248507543
Q25_diasbp,0.19509854312854735
has_immunosuppression,0.19399386805235974
median_heartrate,0.19297913329624936
Q75_lactate,0.19213593333952148
Q75_sysbp,0.17290218632322216
Q25_bun,0.17050783804717531
Q25_hgb,0.16923112799551163
median_neutrophils,0.15830039011052352
median_na,0.15085347074268013
median_diasbp,0.14872392554818706
median_cr,0.1411409560962669
Q75_hgb,0.14015957129090056
Q25_neutrophils,0.13962595723127685
median_hgb,0.1329038268877682
Q25_plt,0.13213390614937434
Q25_hco3,0.12619876071420752
Q25_wbc,0.11758905238645945
Q75_na,0.11155092727114044
median_temp,0.10687219904976847
Q75_wbc,0.10339129072578715
Q25_lactate,0.09854132214519408
has_chf,0.09251113447937712
antibiotic_class,0.08202886792471417
has_diabetes,0.08033211346267675
median_wbc,0.07787027925705518
median_bun,0.06755954308518944
has_stroke,0.06406196975062406
has_liver_disease,0.05522834451019195
median_resprate,0.05204277617320318
has_cancer,0.046099009372605755
has_copd,0.04095007800656718
median_lactate,0.0370333038940723
median_lymphocytes,0.0185584417123005
med_within_30_days,0.018023225759091842
Period_Day,0.012482718073590532
Q75_lymphocytes,0.012409940621707196
has_other_comorbid,0.00014389005595163737
